poly_degree,vec_size,experiment,operation,combination,enc_time_ms,dec_time_ms,op_time_ms,memory_kb
1024,10000,vector,mul,pt*ct,0.401485,0.250149,0.109012,69004
1024,100000,vector,add,pt+pt,0,0,0.016333,69004
1024,100000,vector,mul,pt*pt,0,0,0.012672,69004
1024,100000,vector,add,ct+ct,0.689038,0.531569,0.030351,69004
1024,100000,vector,mul,ct*ct,0.689038,0.531569,1.53188,69004
1024,100000,vector,add,pt+ct,0.348141,0.28508,0.11127,69004
1024,100000,vector,mul,pt*ct,0.348141,0.28508,0.109853,69004
1024,1000000,vector,add,pt+pt,0,0,0.016074,69004
1024,1000000,vector,mul,pt*pt,0,0,0.012375,69004
1024,1000000,vector,add,ct+ct,0.838466,0.50975,0.030518,69004
1024,1000000,vector,mul,ct*ct,0.838466,0.50975,1.46666,69004
1024,1000000,vector,add,pt+ct,0.443085,0.248692,0.106003,69004
1024,1000000,vector,mul,pt*ct,0.443085,0.248692,0.109159,69004
2048,1000,vector,add,pt+pt,0,0,0.026966,69004
2048,1000,vector,mul,pt*pt,0,0,0.020451,69004
2048,1000,vector,add,ct+ct,1.69452,1.01106,0.050516,69004
2048,1000,vector,mul,ct*ct,1.69452,1.01106,2.98321,69004
2048,1000,vector,add,pt+ct,0.7047,0.529966,0.22007,69004
2048,1000,vector,mul,pt*ct,0.7047,0.529966,0.229893,69004
2048,10000,vector,add,pt+pt,0,0,0.026254,69004
2048,10000,vector,mul,pt*pt,0,0,0.019757,69004
2048,10000,vector,add,ct+ct,1.2026,0.945833,0.049718,69004
2048,10000,vector,mul,ct*ct,1.2026,0.945833,2.81211,69004
2048,10000,vector,add,pt+ct,0.59845,0.473361,0.217621,69004
2048,10000,vector,mul,pt*ct,0.59845,0.473361,0.22924,69004
2048,100000,vector,add,pt+pt,0,0,0.026088,69004
2048,100000,vector,mul,pt*pt,0,0,0.019774,69004
2048,100000,vector,add,ct+ct,1.3052,0.971747,0.090039,69004
2048,100000,vector,mul,ct*ct,1.3052,0.971747,2.78414,69004
2048,100000,vector,add,pt+ct,0.700409,0.483352,0.216882,69004
2048,100000,vector,mul,pt*ct,0.700409,0.483352,0.228643,69004
2048,1000000,vector,add,pt+pt,0,0,0.02528,69004
2048,1000000,vector,mul,pt*pt,0,0,0.019435,69004
2048,1000000,vector,add,ct+ct,1.21247,0.993853,0.048639,69004
2048,1000000,vector,mul,ct*ct,1.21247,0.993853,2.73277,69004
2048,1000000,vector,add,pt+ct,0.608742,0.480641,0.215074,69004
2048,1000000,vector,mul,pt*ct,0.608742,0.480641,0.223118,69004
4096,1000,vector,add,pt+pt,0,0,0.046743,69004
4096,1000,vector,mul,pt*pt,0,0,0.035355,69004
4096,1000,vector,add,ct+ct,2.35984,1.95317,0.089235,69004
4096,1000,vector,mul,ct*ct,2.35984,1.95317,5.66797,69004
4096,1000,vector,add,pt+ct,1.08621,1.02197,0.374437,69004
4096,1000,vector,mul,pt*ct,1.08621,1.02197,0.432818,69004
4096,10000,vector,add,pt+pt,0,0,0.046021,69004
4096,10000,vector,mul,pt*pt,0,0,0.034645,69004
4096,10000,vector,add,ct+ct,2.52928,1.92615,0.098919,69004
4096,10000,vector,mul,ct*ct,2.52928,1.92615,6.08708,69004
4096,10000,vector,add,pt+ct,1.26539,0.990023,0.470554,69004
4096,10000,vector,mul,pt*ct,1.26539,0.990023,0.412244,69004
4096,100000,vector,add,pt+pt,0,0,0.035724,69004
4096,100000,vector,mul,pt*pt,0,0,0.034911,69004
4096,100000,vector,add,ct+ct,2.90475,1.98042,0.089885,69004
4096,100000,vector,mul,ct*ct,2.90475,1.98042,5.73316,69004
4096,100000,vector,add,pt+ct,1.37685,1.01488,0.327446,69004
4096,100000,vector,mul,pt*ct,1.37685,1.01488,0.503771,69004
4096,1000000,vector,add,pt+pt,0,0,0.035489,69004
4096,1000000,vector,mul,pt*pt,0,0,0.034935,69004
4096,1000000,vector,add,ct+ct,2.46105,1.95904,0.089041,69004
4096,1000000,vector,mul,ct*ct,2.46105,1.95904,5.56119,69004
4096,1000000,vector,add,pt+ct,1.10985,0.994586,0.343653,69004
4096,1000000,vector,mul,pt*ct,1.10985,0.994586,0.383581,69004
8192,1000,vector,add,pt+pt,0,0,0.08736,69004
8192,1000,vector,mul,pt*pt,0,0,0.065284,69004
8192,1000,vector,add,ct+ct,4.73296,3.96472,0.219991,69004
8192,1000,vector,mul,ct*ct,4.73296,3.96472,11.4279,69004
8192,1000,vector,add,pt+ct,2.4819,2.01789,0.678999,69004
8192,1000,vector,mul,pt*ct,2.4819,2.01789,0.861636,69004
8192,10000,vector,add,pt+pt,0,0,0.064558,69004
8192,10000,vector,mul,pt*pt,0,0,0.066647,69004
8192,10000,vector,add,ct+ct,5.80916,3.75364,0.171754,69004
8192,10000,vector,mul,ct*ct,5.80916,3.75364,11.2764,69004
8192,10000,vector,add,pt+ct,2.97717,1.93856,0.690952,69004
8192,10000,vector,mul,pt*ct,2.97717,1.93856,0.833721,69004
8192,100000,vector,add,pt+pt,0,0,0.064756,69004
8192,100000,vector,mul,pt*pt,0,0,0.063374,69004
8192,100000,vector,add,ct+ct,5.21501,3.83761,0.169389,69004
8192,100000,vector,mul,ct*ct,5.21501,3.83761,11.7354,69004
8192,100000,vector,add,pt+ct,2.93851,1.91927,0.673114,69004
8192,100000,vector,mul,pt*ct,2.93851,1.91927,0.848009,69004
8192,1000000,vector,add,pt+pt,0,0,0.069614,69004
8192,1000000,vector,mul,pt*pt,0,0,0.06667,69004
8192,1000000,vector,add,ct+ct,4.84408,3.99837,0.216392,69004
8192,1000000,vector,mul,ct*ct,4.84408,3.99837,11.0068,69004
8192,1000000,vector,add,pt+ct,2.20734,1.94645,0.681416,69004
8192,1000000,vector,mul,pt*ct,2.20734,1.94645,1.10886,69004
16384,1000,vector,add,pt+pt,0,0,0.125022,172780
16384,1000,vector,mul,pt*pt,0,0,0.123709,172780
16384,1000,vector,add,ct+ct,10.083,8.00584,0.369653,172780
16384,1000,vector,mul,ct*ct,10.083,8.00584,69.397,180968
16384,1000,vector,add,pt+ct,4.75729,4.21537,1.53555,180968
16384,1000,vector,mul,pt*ct,4.75729,4.21537,1.73624,180968
16384,10000,vector,add,pt+pt,0,0,0.12865,180968
16384,10000,vector,mul,pt*pt,0,0,0.122824,180968
16384,10000,vector,add,ct+ct,9.31382,7.77106,0.361812,180968
16384,10000,vector,mul,ct*ct,9.31382,7.77106,53.4202,180968
16384,10000,vector,add,pt+ct,4.74432,4.00746,1.42129,180968
16384,10000,vector,mul,pt*ct,4.74432,4.00746,1.73843,180968
16384,100000,vector,add,pt+pt,0,0,0.122569,180968
16384,100000,vector,mul,pt*pt,0,0,0.120336,180968
16384,100000,vector,add,ct+ct,12.6751,7.66314,0.375982,180968
16384,100000,vector,mul,ct*ct,12.6751,7.66314,53.309,180968
16384,100000,vector,add,pt+ct,5.03946,3.97216,1.34048,180968
16384,100000,vector,mul,pt*ct,5.03946,3.97216,1.54826,180968
16384,1000000,vector,add,pt+pt,0,0,0.12285,180968
16384,1000000,vector,mul,pt*pt,0,0,0.120451,180968
16384,1000000,vector,add,ct+ct,9.22916,7.73862,0.345927,180968
16384,1000000,vector,mul,ct*ct,9.22916,7.73862,52.5087,181096
16384,1000000,vector,add,pt+ct,4.27616,3.99022,1.34299,181096
16384,1000000,vector,mul,pt*ct,4.27616,3.99022,1.62283,181096
32768,1000,vector,add,pt+pt,0,0,0.240895,601640
32768,1000,vector,mul,pt*pt,0,0,0.235139,601640
32768,1000,vector,add,ct+ct,21.8355,15.5678,0.71252,601640
32768,1000,vector,mul,ct*ct,21.8355,15.5678,135.716,617916
32768,1000,vector,add,pt+ct,8.68814,8.04554,3.05665,617916
32768,1000,vector,mul,pt*ct,8.68814,8.04554,3.42722,617916
32768,10000,vector,add,pt+pt,0,0,0.238766,617916
32768,10000,vector,mul,pt*pt,0,0,0.234932,617916
32768,10000,vector,add,ct+ct,20.4292,15.3622,0.754356,617916
32768,10000,vector,mul,ct*ct,20.4292,15.3622,128.186,617964
32768,10000,vector,add,pt+ct,10.2556,7.8673,2.91573,617964
32768,10000,vector,mul,pt*ct,10.2556,7.8673,3.33127,617964
32768,100000,vector,add,pt+pt,0,0,0.238257,617964
32768,100000,vector,mul,pt*pt,0,0,0.235434,617964
32768,100000,vector,add,ct+ct,20.4197,15.3442,0.744045,617964
32768,100000,vector,mul,ct*ct,20.4197,15.3442,108.102,617964
32768,100000,vector,add,pt+ct,11.7688,7.86424,2.89529,617964
32768,100000,vector,mul,pt*ct,11.7688,7.86424,3.39798,617964
32768,1000000,vector,add,pt+pt,0,0,0.238604,617964
32768,1000000,vector,mul,pt*pt,0,0,0.234749,617964
32768,1000000,vector,add,ct+ct,18.8612,15.4181,0.70857,617964
32768,1000000,vector,mul,ct*ct,18.8612,15.4181,114.829,617964
32768,1000000,vector,add,pt+ct,10.2153,7.93231,3.20394,617964
32768,1000000,vector,mul,pt*ct,10.2153,7.93231,3.70004,617964
