poly_degree,vec_size,experiment,operation,combination,enc_time_ms,dec_time_ms,op_time_ms,memory_kb
1024,10000,vector,mul,pt*ct,0.261434,0.229669,0.094789,69016
1024,100000,vector,add,pt+pt,0,0,0.016677,69016
1024,100000,vector,mul,pt*pt,0,0,0.012653,69016
1024,100000,vector,add,ct+ct,0.578098,0.441322,0.026427,69016
1024,100000,vector,mul,ct*ct,0.578098,0.441322,1.09054,69016
1024,100000,vector,add,pt+ct,0.272283,0.223648,0.097781,69016
1024,100000,vector,mul,pt*ct,0.272283,0.223648,0.095022,69016
1024,1000000,vector,add,pt+pt,0,0,0.015994,69016
1024,1000000,vector,mul,pt*pt,0,0,0.012421,69016
1024,1000000,vector,add,ct+ct,0.566508,0.448869,0.026444,69016
1024,1000000,vector,mul,ct*ct,0.566508,0.448869,1.08241,69016
1024,1000000,vector,add,pt+ct,0.30933,0.229477,0.096028,69016
1024,1000000,vector,mul,pt*ct,0.30933,0.229477,0.097853,69016
2048,1000,vector,add,pt+pt,0,0,0.027568,69016
2048,1000,vector,mul,pt*pt,0,0,0.02046,69016
2048,1000,vector,add,ct+ct,1.91531,2.07093,0.065696,69016
2048,1000,vector,mul,ct*ct,1.91531,2.07093,3.9963,69016
2048,1000,vector,add,pt+ct,0.964015,1.17352,0.349154,69016
2048,1000,vector,mul,pt*ct,0.964015,1.17352,0.343014,69016
2048,10000,vector,add,pt+pt,0,0,0.083862,69016
2048,10000,vector,mul,pt*pt,0,0,0.070737,69016
2048,10000,vector,add,ct+ct,2.15376,1.99012,0.089544,69016
2048,10000,vector,mul,ct*ct,2.15376,1.99012,3.94325,69016
2048,10000,vector,add,pt+ct,0.951028,0.994359,0.329491,69016
2048,10000,vector,mul,pt*ct,0.951028,0.994359,0.335729,69016
2048,100000,vector,add,pt+pt,0,0,0.081547,69016
2048,100000,vector,mul,pt*pt,0,0,0.070107,69016
2048,100000,vector,add,ct+ct,2.06651,2.01944,0.084829,69016
2048,100000,vector,mul,ct*ct,2.06651,2.01944,3.90556,69016
2048,100000,vector,add,pt+ct,0.957258,1.01011,0.32581,69016
2048,100000,vector,mul,pt*ct,0.957258,1.01011,0.370799,69016
2048,1000000,vector,add,pt+pt,0,0,0.082015,69016
2048,1000000,vector,mul,pt*pt,0,0,0.070171,69016
2048,1000000,vector,add,ct+ct,1.91835,2.01427,0.084139,69016
2048,1000000,vector,mul,ct*ct,1.91835,2.01427,3.86719,69016
2048,1000000,vector,add,pt+ct,0.994298,1.01442,0.358302,69016
2048,1000000,vector,mul,pt*ct,0.994298,1.01442,0.335146,69016
4096,1000,vector,add,pt+pt,0,0,0.158147,69016
4096,1000,vector,mul,pt*pt,0,0,0.130065,69016
4096,1000,vector,add,ct+ct,3.61671,4.39999,0.196661,69016
4096,1000,vector,mul,ct*ct,3.61671,4.39999,8.01041,69016
4096,1000,vector,add,pt+ct,1.85065,2.41631,0.311068,69016
4096,1000,vector,mul,pt*ct,1.85065,2.41631,0.352153,69016
4096,10000,vector,add,pt+pt,0,0,0.04685,69016
4096,10000,vector,mul,pt*pt,0,0,0.035147,69016
4096,10000,vector,add,ct+ct,2.27159,1.66667,0.078009,69016
4096,10000,vector,mul,ct*ct,2.27159,1.66667,4.22598,69016
4096,10000,vector,add,pt+ct,1.04478,0.844489,0.308583,69016
4096,10000,vector,mul,pt*ct,1.04478,0.844489,0.353938,69016
4096,100000,vector,add,pt+pt,0,0,0.046329,69016
4096,100000,vector,mul,pt*pt,0,0,0.034541,69016
4096,100000,vector,add,ct+ct,2.11909,1.69254,0.076912,69016
4096,100000,vector,mul,ct*ct,2.11909,1.69254,4.27912,69016
4096,100000,vector,add,pt+ct,1.1569,0.868438,0.309756,69016
4096,100000,vector,mul,pt*ct,1.1569,0.868438,0.352589,69016
4096,1000000,vector,add,pt+pt,0,0,0.046449,69016
4096,1000000,vector,mul,pt*pt,0,0,0.039462,69016
4096,1000000,vector,add,ct+ct,2.12249,1.65279,0.077923,69016
4096,1000000,vector,mul,ct*ct,2.12249,1.65279,4.16929,69016
4096,1000000,vector,add,pt+ct,1.15892,0.834834,0.306284,69016
4096,1000000,vector,mul,pt*ct,1.15892,0.834834,0.347486,69016
8192,1000,vector,add,pt+pt,0,0,0.085017,69016
8192,1000,vector,mul,pt*pt,0,0,0.0632,69016
8192,1000,vector,add,ct+ct,4.16472,3.48993,0.181883,69016
8192,1000,vector,mul,ct*ct,4.16472,3.48993,8.39502,69016
8192,1000,vector,add,pt+ct,2.29712,1.88555,0.606234,69016
8192,1000,vector,mul,pt*ct,2.29712,1.88555,0.733231,69016
8192,10000,vector,add,pt+pt,0,0,0.085292,69016
8192,10000,vector,mul,pt*pt,0,0,0.065955,69016
8192,10000,vector,add,ct+ct,4.21396,3.28692,0.142457,69016
8192,10000,vector,mul,ct*ct,4.21396,3.28692,8.37694,69016
8192,10000,vector,add,pt+ct,2.33652,1.65743,0.605352,69016
8192,10000,vector,mul,pt*ct,2.33652,1.65743,0.710574,69016
8192,100000,vector,add,pt+pt,0,0,0.063978,69016
8192,100000,vector,mul,pt*pt,0,0,0.06256,69016
8192,100000,vector,add,ct+ct,3.78831,3.2581,0.173634,69016
8192,100000,vector,mul,ct*ct,3.78831,3.2581,8.24719,69016
8192,100000,vector,add,pt+ct,1.88809,1.62984,0.599771,69016
8192,100000,vector,mul,pt*ct,1.88809,1.62984,0.739894,69016
8192,1000000,vector,add,pt+pt,0,0,0.084738,69016
8192,1000000,vector,mul,pt*pt,0,0,0.063051,69016
8192,1000000,vector,add,ct+ct,3.79617,3.2475,0.140866,69016
8192,1000000,vector,mul,ct*ct,3.79617,3.2475,8.35177,69016
8192,1000000,vector,add,pt+ct,1.92264,1.63672,0.602556,69016
8192,1000000,vector,mul,pt*ct,1.92264,1.63672,0.731067,69016
16384,1000,vector,add,pt+pt,0,0,0.122742,160616
16384,1000,vector,mul,pt*pt,0,0,0.120877,160616
16384,1000,vector,add,ct+ct,10.2252,7.45197,0.292517,160616
16384,1000,vector,mul,ct*ct,10.2252,7.45197,52.6344,165780
16384,1000,vector,add,pt+ct,6.28476,4.16924,2.07018,165780
16384,1000,vector,mul,pt*ct,6.28476,4.16924,2.06369,165780
16384,10000,vector,add,pt+pt,0,0,0.122274,165780
16384,10000,vector,mul,pt*pt,0,0,0.120031,165780
16384,10000,vector,add,ct+ct,8.10405,6.96383,0.294143,165780
16384,10000,vector,mul,ct*ct,8.10405,6.96383,46.2231,165908
16384,10000,vector,add,pt+ct,4.13663,3.57474,1.24214,165908
16384,10000,vector,mul,pt*ct,4.13663,3.57474,1.2742,165908
16384,100000,vector,add,pt+pt,0,0,0.122374,165908
16384,100000,vector,mul,pt*pt,0,0,0.119726,165908
16384,100000,vector,add,ct+ct,9.31027,6.76722,0.29083,165908
16384,100000,vector,mul,ct*ct,9.31027,6.76722,46.8511,165908
16384,100000,vector,add,pt+ct,4.64489,3.48729,1.28032,165908
16384,100000,vector,mul,pt*ct,4.64489,3.48729,1.29421,165908
16384,1000000,vector,add,pt+pt,0,0,0.122224,165908
16384,1000000,vector,mul,pt*pt,0,0,0.11991,165908
16384,1000000,vector,add,ct+ct,7.8403,6.80815,0.293831,165908
16384,1000000,vector,mul,ct*ct,7.8403,6.80815,46.2646,165908
16384,1000000,vector,add,pt+ct,3.91105,3.50108,1.24718,165908
16384,1000000,vector,mul,pt*ct,3.91105,3.50108,1.27792,165908
32768,1000,vector,add,pt+pt,0,0,0.246976,575328
32768,1000,vector,mul,pt*pt,0,0,0.246781,575328
32768,1000,vector,add,ct+ct,20.8725,15.0951,0.64912,575328
32768,1000,vector,mul,ct*ct,20.8725,15.0951,101.526,585344
32768,1000,vector,add,pt+ct,8.17444,8.1135,2.7702,585344
32768,1000,vector,mul,pt*ct,8.17444,8.1135,3.26883,585344
32768,10000,vector,add,pt+pt,0,0,0.244245,585344
32768,10000,vector,mul,pt*pt,0,0,0.241546,585344
32768,10000,vector,add,ct+ct,16.1211,14.7417,0.6679,585344
32768,10000,vector,mul,ct*ct,16.1211,14.7417,99.9045,585472
32768,10000,vector,add,pt+ct,8.07551,7.66553,2.7775,585472
32768,10000,vector,mul,pt*ct,8.07551,7.66553,3.24634,585472
32768,100000,vector,add,pt+pt,0,0,0.243198,585472
32768,100000,vector,mul,pt*pt,0,0,0.239824,585472
32768,100000,vector,add,ct+ct,16.0971,14.3316,0.640339,585472
32768,100000,vector,mul,ct*ct,16.0971,14.3316,100.204,585600
32768,100000,vector,add,pt+ct,8.09535,7.38649,2.72945,585600
32768,100000,vector,mul,pt*ct,8.09535,7.38649,2.85892,585600
32768,1000000,vector,add,pt+pt,0,0,0.243042,585600
32768,1000000,vector,mul,pt*pt,0,0,0.243288,585600
32768,1000000,vector,add,ct+ct,20.8596,14.3118,0.639195,585600
32768,1000000,vector,mul,ct*ct,20.8596,14.3118,99.7241,585600
32768,1000000,vector,add,pt+ct,12.8176,7.38502,2.77974,585600
32768,1000000,vector,mul,pt*ct,12.8176,7.38502,2.79759,585600
